# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
3.86963100000000022e-4,6.41421073000000064e1,3.87173322000000013e1,9.14734299999999934e0
3.88311099999999996e-4,1.18054004000000006e2,4.12124821999999966e1,1.39217800000000000e1
3.88322900000000009e-4,1.26639774000000003e2,4.35548321999999999e1,1.60797600000000003e1
3.88791700000000007e-4,1.73706943000000003e1,3.41989321000000013e0,1.14417100000000005e1
3.88924900000000000e-4,1.09342550000000003e2,8.70250721999999968e1,1.53308599999999995e1
3.92982099999999979e-4,1.89578522999999990e1,2.74686820000000020e0,1.16693400000000000e1
3.94294299999999997e-4,2.17120342000000015e1,1.86581219999999992e0,1.09942899999999995e1
3.95252699999999984e-4,1.57346781999999994e1,1.33184819000000010e0,1.01959099999999996e1
3.97167499999999981e-4,2.25430582000000008e1,4.49149718999999958e0,1.13021200000000004e1
3.97423200000000007e-4,1.31720263999999986e2,6.32644221999999985e1,1.61694500000000012e1
3.98615099999999984e-4,2.15766212000000017e1,4.21673318000000030e0,1.11309400000000007e1
3.99012600000000009e-4,1.39983502000000009e1,7.59955179999999952e-1,1.07457700000000003e1
3.99874499999999995e-4,7.46023162000000042e1,5.48451221999999987e1,1.14071999999999996e1
4.00000000000000019e-4,1.74517932000000009e1,2.89111618000000004e0,1.09119200000000003e1
4.00400300000000023e-4,4.51563542000000027e1,7.10902218000000019e0,1.10510099999999998e1
4.01547100000000017e-4,8.69461342000000030e1,5.43164221999999981e1,1.19897299999999998e1
4.02416000000000004e-4,3.59365361999999990e1,6.28618417000000029e0,1.20793599999999994e1
4.03853100000000004e-4,1.52077551999999994e1,1.40955316999999991e0,9.80103300000000033e0
4.10857200000000001e-4,2.43888062000000012e1,4.20947114999999972e0,1.08864699999999992e1
4.12198099999999993e-4,2.20020160999999987e1,3.22239313999999988e0,1.00907099999999996e1
4.13204900000000005e-4,1.38593401000000007e1,1.05617914000000002e0,9.27785500000000063e0
4.15644899999999989e-4,5.80488210999999978e1,1.00247021000000007e1,9.19159699999999980e0
4.18727600000000019e-4,2.06806660999999998e1,2.17507813000000017e0,1.33888099999999994e1
4.19360999999999985e-4,3.68351661000000021e1,4.18861413000000038e0,1.03254400000000004e1
4.20287999999999998e-4,2.04295390999999995e1,1.84204211999999989e0,1.26523900000000005e1
4.21421200000000017e-4,1.97732731000000008e1,3.57132012000000021e0,1.00936900000000005e1
4.23739000000000017e-4,3.68689390999999986e1,3.78800711000000012e0,1.14056099999999994e1
4.25255100000000014e-4,2.94750874000000010e2,1.23745602000000005e2,3.71107700000000023e1
4.26346400000000001e-4,3.24547151000000014e1,2.87298310999999984e0,1.26877499999999994e1
4.27467299999999999e-4,9.48233141000000046e1,1.97249021000000013e1,1.03896800000000002e1
4.31630999999999974e-4,1.85790070000000007e1,1.16484409000000011e0,1.15859600000000000e1
4.32411299999999998e-4,1.47792919999999999e1,1.66437908999999995e0,9.37022699999999986e0
4.33159999999999980e-4,4.01479440000000025e1,3.35958309000000011e0,7.47641899999999993e0
4.33954500000000021e-4,1.69087814000000009e2,2.89943621000000000e1,2.33970500000000001e1
4.36030699999999979e-4,1.64473899999999986e1,1.61532008000000005e0,1.16293600000000001e1
4.39542300000000008e-4,4.77379869999999968e1,7.69267506999999995e0,1.18664900000000006e1
