step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
830,-0.00516999999999989,0.00041500000000000683,0,1,0.5,0,0,0,0,0.00516999999999989,-0.00041500000000000683,0,-1,-0.5,0,0,0,0
840,-0.0051599999999998886,0.00042000000000000696,0,1,0.5,0,0,0,0,0.0051599999999998886,-0.00042000000000000696,0,-1,-0.5,0,0,0,0
850,-0.0051499999999998873,0.00042500000000000708,0,1,0.5,0,0,0,0,0.0051499999999998873,-0.00042500000000000708,0,-1,-0.5,0,0,0,0
860,-0.005139999999999886,0.0004300000000000072,0,1,0.5,0,0,0,0,0.005139999999999886,-0.0004300000000000072,0,-1,-0.5,0,0,0,0
870,-0.0051299999999998847,0.00043500000000000732,0,1,0.5,0,0,0,0,0.0051299999999998847,-0.00043500000000000732,0,-1,-0.5,0,0,0,0
880,-0.0051199999999998833,0.00044000000000000744,0,1,0.5,0,0,0,0,0.0051199999999998833,-0.00044000000000000744,0,-1,-0.5,0,0,0,0
890,-0.005109999999999882,0.00044500000000000756,0,1,0.5,0,0,0,0,0.005109999999999882,-0.00044500000000000756,0,-1,-0.5,0,0,0,0
900,-0.0050999999999998807,0.00045000000000000769,0,1,0.5,0,0,0,0,0.0050999999999998807,-0.00045000000000000769,0,-1,-0.5,0,0,0,0
910,-0.0050899999999998793,0.00045500000000000781,0,1,0.5,0,0,0,0,0.0050899999999998793,-0.00045500000000000781,0,-1,-0.5,0,0,0,0
920,-0.005079999999999878,0.00046000000000000793,0,1,0.5,0,0,0,0,0.005079999999999878,-0.00046000000000000793,0,-1,-0.5,0,0,0,0
930,-0.0050699999999998767,0.00046500000000000805,0,1,0.5,0,0,0,0,0.0050699999999998767,-0.00046500000000000805,0,-1,-0.5,0,0,0,0
940,-0.0050599999999998754,0.00047000000000000817,0,1,0.5,0,0,0,0,0.0050599999999998754,-0.00047000000000000817,0,-1,-0.5,0,0,0,0
950,-0.005049999999999874,0.00047500000000000829,0,1,0.5,0,0,0,0,0.005049999999999874,-0.00047500000000000829,0,-1,-0.5,0,0,0,0
960,-0.0050399999999998727,0.00048000000000000841,0,1,0.5,0,0,0,0,0.0050399999999998727,-0.00048000000000000841,0,-1,-0.5,0,0,0,0
970,-0.0050299999999998714,0.00048500000000000854,0,1,0.5,0,0,0,0,0.0050299999999998714,-0.00048500000000000854,0,-1,-0.5,0,0,0,0
980,-0.0050199999999998701,0.00049000000000000844,0,1,0.5,0,0,0,0,0.0050199999999998701,-0.00049000000000000844,0,-1,-0.5,0,0,0,0
990,-0.0050099999999998687,0.00049500000000000802,0,1,0.5,0,0,0,0,0.0050099999999998687,-0.00049500000000000802,0,-1,-0.5,0,0,0,0
1000,-0.0049999999999998674,0.0005000000000000076,0,1,0.5,0,0,0,0,0.0049999999999998674,-0.0005000000000000076,0,-1,-0.5,0,0,0,0
1010,-0.0049899999999998661,0.00050500000000000718,0,1,0.5,0,0,0,0,0.0049899999999998661,-0.00050500000000000718,0,-1,-0.5,0,0,0,0
1020,-0.0049799999999998647,0.00051000000000000676,0,1,0.5,0,0,0,0,0.0049799999999998647,-0.00051000000000000676,0,-1,-0.5,0,0,0,0
1030,-0.0049700004092639704,0.00051499981415862792,0,0.99973348340113932,0.49987836076566922,0,0,0,-0.074178425261572561,0.0049700004092639704,-0.00051499981415862792,0,-0.99973348340113932,-0.49987836076566922,0,0,0,-0.074178425261572561
1040,-0.0049600090444310097,0.00051999576809629402,0,0.99842377212715394,0.49924988617327198,0,0,0,-0.45399128765003166,0.0049600090444310097,-0.00051999576809629402,0,-0.99842377212715394,-0.49924988617327198,0,0,0,-0.45399128765003166
1050,-0.0049500341280831212,0.00052498357645756964,0,0.99644344502597249,0.49824491619650818,0,0,0,-1.0554217175873206,0.0049500341280831212,-0.00052498357645756964,0,-0.99644344502597249,-0.49824491619650818,0,0,0,-1.0554217175873206
